"questionId","reviewer","solvableFromPrompt","independentAnswer","storedAnswerMatches","explanationMatches","gradeFit","terminologyOk","sourceDistanceOk","verdict","recommendedFix"
"pep-primary-p4-lower-035","S18-deterministic-audit","yes","6, 4","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p4-lower-036","S18-deterministic-audit","yes","900","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p4-lower-037","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-038","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-039","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-040","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-041","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-042","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-043","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-044","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-045","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-046","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-047","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-048","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-049","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-lower-050","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-001","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-002","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-003","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-004","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-005","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-006","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-007","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-008","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-009","S18-deterministic-audit","yes","10公顷; 2000棵","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p4-upper-010","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-011","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-012","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-013","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-014","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-015","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-016","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-017","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-018","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-019","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-020","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-021","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-022","S18-deterministic-audit","yes","203 × 39","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p4-upper-023","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-024","S18-deterministic-audit","yes","4公顷","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p4-upper-025","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-026","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-027","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-028","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-029","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-030","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-031","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-032","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-033","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-034","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-035","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-036","S18-deterministic-audit","yes","285000","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p4-upper-037","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-038","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-039","S18-deterministic-audit","yes","4公顷","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p4-upper-040","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-041","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-042","S18-deterministic-audit","yes","800, 60, 48000","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p4-upper-043","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-044","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-045","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-046","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-047","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-048","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p4-upper-049","S18-deterministic-audit","yes","10格","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p4-upper-050","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-lower-001","S18-deterministic-audit","yes","42","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p5-lower-002","S18-deterministic-audit","yes","2/3","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p5-lower-003","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-lower-004","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-lower-005","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-lower-006","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-lower-007","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-lower-008","S18-deterministic-audit","yes","0.79166667","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p5-lower-009","S18-deterministic-audit","yes","125","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p5-lower-010","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-lower-011","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-lower-012","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-lower-013","S18-deterministic-audit","yes","13/20","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p5-lower-014","S18-deterministic-audit","yes","96","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p5-lower-015","S18-deterministic-audit","yes","3月，上升6℃","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p5-lower-016","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-lower-017","S18-deterministic-audit","yes","2/3","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p5-lower-018","S18-deterministic-audit","yes","3.75","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p5-lower-019","S18-deterministic-audit","yes","96","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p5-lower-020","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-lower-021","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-lower-022","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-lower-023","S18-deterministic-audit","yes","0.925","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p5-lower-024","S18-deterministic-audit","yes","40, 480","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p5-lower-025","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-lower-026","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-lower-027","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-lower-028","S18-deterministic-audit","yes","13/20","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p5-lower-029","S18-deterministic-audit","yes","96","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p5-lower-030","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-lower-031","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-lower-032","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-lower-033","S18-deterministic-audit","yes","13/20","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p5-lower-034","S18-deterministic-audit","yes","1分米","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p5-lower-035","S18-deterministic-audit","yes","23°C","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p5-lower-036","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-lower-037","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-lower-038","S18-deterministic-audit","yes","11/24","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p5-lower-039","S18-deterministic-audit","yes","64","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p5-lower-040","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-lower-041","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-lower-042","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-lower-043","S18-deterministic-audit","yes","0.65","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p5-lower-044","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-lower-045","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-lower-046","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-lower-047","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-lower-048","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-lower-049","S18-deterministic-audit","yes","160","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p5-lower-050","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-001","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-002","S18-deterministic-audit","yes","a-5b; 17.5","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p5-upper-003","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-004","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-005","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-006","S18-deterministic-audit","yes","45.6元","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p5-upper-007","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-008","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-009","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-010","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-011","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-012","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-013","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-014","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-015","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-016","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-017","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-018","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-019","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-020","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-021","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-022","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-023","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-024","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-025","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-026","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-027","S18-deterministic-audit","yes","篮球50元，排球35元","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p5-upper-028","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-029","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-030","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-031","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-032","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-033","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-034","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-035","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-036","S18-deterministic-audit","yes","50","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p5-upper-037","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-038","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-039","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-040","S18-deterministic-audit","yes","19","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p5-upper-041","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-042","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-043","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-044","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-045","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-046","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-047","S18-deterministic-audit","yes","3x + 5","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p5-upper-048","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p5-upper-049","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
