candidateIndex,id,grade,semester,volume,unitTitle,topicId,questionType,difficulty,illustrationType,priority,promptZhHans,answer,generationBriefZhHans,copyrightSafetyZhHans,sourceAuditNeed,reviewStatus
403,hjb-junior-ds-v2-s2-442,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,multiple-choice,Core,coordinate-grid,P1,已知反比例函数 y = (m-1)/x 的图像在第二、四象限，则 m 的取值范围是（ ）,m < 1,为沪教版初中数学题 hjb-junior-ds-v2-s2-442 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制简洁坐标网格、坐标轴、关键点和变换箭头；坐标标签必须与题干一致。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
404,hjb-junior-ds-v2-s2-444,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,multiple-choice,Core,function-graph,P1,对于反比例函数 y = -5/x，当 x > 0 时，y 随 x 的增大而（ ）,增大,为沪教版初中数学题 hjb-junior-ds-v2-s2-444 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制函数坐标系和曲线/直线关键特征；突出顶点、交点、对称轴、象限或变化趋势。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
405,hjb-junior-ds-v2-s2-445,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,fill-in,Core,function-graph,P1,"已知点 P(-2, a) 和 Q(3, b) 都在反比例函数 y = 6/x 的图像上，则 a 与 b 的大小关系是 a ___ b（填“>”“<”或“=”）。",<,为沪教版初中数学题 hjb-junior-ds-v2-s2-445 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制函数坐标系和曲线/直线关键特征；突出顶点、交点、对称轴、象限或变化趋势。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
406,hjb-junior-ds-v2-s2-446,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,multiple-choice,Core,function-graph,P1,"已知反比例函数 y = k/x 的图像经过点 (3, -2)，则下列说法正确的是（ ）",B. k = -6，图像在第二、四象限,为沪教版初中数学题 hjb-junior-ds-v2-s2-446 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制函数坐标系和曲线/直线关键特征；突出顶点、交点、对称轴、象限或变化趋势。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
407,hjb-junior-ds-v2-s2-447,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,fill-in,Core,coordinate-grid,P1,反比例函数 y = (m+1)/x 的图像在每个象限内 y 随 x 的增大而减小，则 m 的取值范围是______。,m > -1,为沪教版初中数学题 hjb-junior-ds-v2-s2-447 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制简洁坐标网格、坐标轴、关键点和变换箭头；坐标标签必须与题干一致。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
408,hjb-junior-ds-v2-s2-448,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,multiple-choice,Core,function-graph,P1,"已知点A(-2, y1)、B(-1, y2)、C(3, y3)都在反比例函数 y = -4/x 的图像上，则 y1、y2、y3 的大小关系是（ ）",y3 < y1 < y2,为沪教版初中数学题 hjb-junior-ds-v2-s2-448 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制函数坐标系和曲线/直线关键特征；突出顶点、交点、对称轴、象限或变化趋势。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
409,hjb-junior-ds-v2-s2-451,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,fill-in,Core,function-graph,P1,"已知反比例函数 y = k/x 的图像经过点 A(3, -2)，求 k 的值。",-6,为沪教版初中数学题 hjb-junior-ds-v2-s2-451 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制函数坐标系和曲线/直线关键特征；突出顶点、交点、对称轴、象限或变化趋势。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
410,hjb-junior-ds-v2-s2-452,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,multiple-choice,Core,coordinate-grid,P1,若反比例函数 y = (m-1)/x 的图像位于第一、三象限，则 m 的取值范围是？,m > 1,为沪教版初中数学题 hjb-junior-ds-v2-s2-452 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制简洁坐标网格、坐标轴、关键点和变换箭头；坐标标签必须与题干一致。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
411,hjb-junior-ds-v2-s2-454,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,multiple-choice,Core,function-graph,P1,"已知点 P(-2, 3) 在反比例函数 y = a/x 的图像上，则下列说法正确的是：",a = -6，图像经过第二、四象限,为沪教版初中数学题 hjb-junior-ds-v2-s2-454 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制函数坐标系和曲线/直线关键特征；突出顶点、交点、对称轴、象限或变化趋势。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
412,hjb-junior-ds-v2-s2-455,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,fill-in,Core,function-graph,P1,"反比例函数 y = 8/x 的图像上有两点 A(2, y₁) 和 B(4, y₂)，比较 y₁ 与 y₂ 的大小。",y₁ > y₂,为沪教版初中数学题 hjb-junior-ds-v2-s2-455 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制函数坐标系和曲线/直线关键特征；突出顶点、交点、对称轴、象限或变化趋势。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
413,hjb-junior-ds-v2-s2-456,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,multiple-choice,Core,function-graph,P1,"已知反比例函数 y = k/x 的图像经过点 A(2, -3)，则下列说法正确的是（ ）",k = -6，图像的两个分支分别位于第二、四象限,为沪教版初中数学题 hjb-junior-ds-v2-s2-456 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制函数坐标系和曲线/直线关键特征；突出顶点、交点、对称轴、象限或变化趋势。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
414,hjb-junior-ds-v2-s2-457,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,fill-in,Core,coordinate-grid,P1,已知反比例函数 y = (m-1)/x 的图像在每一个象限内，y 随 x 的增大而减小，则 m 的取值范围是______。,m > 1,为沪教版初中数学题 hjb-junior-ds-v2-s2-457 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制简洁坐标网格、坐标轴、关键点和变换箭头；坐标标签必须与题干一致。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
415,hjb-junior-ds-v2-s2-458,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,multiple-choice,Core,function-graph,P1,"已知反比例函数 y = (a+2)/x 的图像经过点 (3, -1)，则 a 的值为（ ）",-5,为沪教版初中数学题 hjb-junior-ds-v2-s2-458 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制函数坐标系和曲线/直线关键特征；突出顶点、交点、对称轴、象限或变化趋势。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
416,hjb-junior-ds-v2-s2-459,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,fill-in,Core,function-graph,P1,"已知反比例函数 y = k/x 的图像经过点 (-2, 4)，则 k = ______。",-8,为沪教版初中数学题 hjb-junior-ds-v2-s2-459 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制函数坐标系和曲线/直线关键特征；突出顶点、交点、对称轴、象限或变化趋势。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
417,hjb-junior-ds-v2-s2-460,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,multiple-choice,Core,function-graph,P1,"已知点 P(-3, 2) 在反比例函数 y = k/x 的图像上，则下列各点中也在该图像上的是（ ）","(6, -1)",为沪教版初中数学题 hjb-junior-ds-v2-s2-460 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制函数坐标系和曲线/直线关键特征；突出顶点、交点、对称轴、象限或变化趋势。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
418,hjb-junior-ds-v2-s2-461,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,fill-in,Core,function-graph,P1,"已知反比例函数 y = k/x 的图像经过点 P(-4, 3)。求 k 的值。",-12,为沪教版初中数学题 hjb-junior-ds-v2-s2-461 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制函数坐标系和曲线/直线关键特征；突出顶点、交点、对称轴、象限或变化趋势。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
419,hjb-junior-ds-v2-s2-462,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,multiple-choice,Core,coordinate-grid,P1,已知反比例函数 y = (m-2)/x 的图像位于第二、四象限，则 m 的取值范围是？,m < 2,为沪教版初中数学题 hjb-junior-ds-v2-s2-462 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制简洁坐标网格、坐标轴、关键点和变换箭头；坐标标签必须与题干一致。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
420,hjb-junior-ds-v2-s2-463,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,fill-in,Core,function-graph,P1,"已知反比例函数 y = k/x 的图像经过点 A(2, -5) 和点 B(m, 10)，求 m 的值。",-1,为沪教版初中数学题 hjb-junior-ds-v2-s2-463 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制函数坐标系和曲线/直线关键特征；突出顶点、交点、对称轴、象限或变化趋势。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
421,hjb-junior-ds-v2-s2-464,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,multiple-choice,Core,function-graph,P1,"已知反比例函数 y = k/x 的图像经过点 (-3, 4)，则下列各点中在该函数图像上的是？","(6, -2)",为沪教版初中数学题 hjb-junior-ds-v2-s2-464 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制函数坐标系和曲线/直线关键特征；突出顶点、交点、对称轴、象限或变化趋势。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
422,hjb-junior-ds-v2-s2-465,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,fill-in,Core,function-graph,P1,"已知反比例函数 y = k/x 的图像经过点 (5, -2)，则当 x = -10 时，y 的值为？",1,为沪教版初中数学题 hjb-junior-ds-v2-s2-465 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制函数坐标系和曲线/直线关键特征；突出顶点、交点、对称轴、象限或变化趋势。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
423,hjb-junior-ds-v2-s2-466,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,multiple-choice,Core,function-graph,P1,"已知反比例函数 y = k/x 的图像经过点 A(2, -3)。下列说法正确的是（　）",B. k = -6，图像位于第二、四象限,为沪教版初中数学题 hjb-junior-ds-v2-s2-466 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制函数坐标系和曲线/直线关键特征；突出顶点、交点、对称轴、象限或变化趋势。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
424,hjb-junior-ds-v2-s2-467,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,fill-in,Core,coordinate-grid,P1,已知反比例函数 y = (m-1)/x 的图像在每个象限内 y 随 x 的增大而减小，则 m 的取值范围是______。,m > 1,为沪教版初中数学题 hjb-junior-ds-v2-s2-467 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制简洁坐标网格、坐标轴、关键点和变换箭头；坐标标签必须与题干一致。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
425,hjb-junior-ds-v2-s2-468,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,multiple-choice,Core,function-graph,P1,"已知点 P(-1, 2) 在反比例函数 y = k/x 的图像上，则下列各点中也在该图像上的是（　）","A. (1, -2)",为沪教版初中数学题 hjb-junior-ds-v2-s2-468 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制函数坐标系和曲线/直线关键特征；突出顶点、交点、对称轴、象限或变化趋势。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
426,hjb-junior-ds-v2-s2-469,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,fill-in,Core,function-graph,P1,"某气球内充满了一定质量的气体，当温度不变时，气球内气体的气压 p (kPa) 是气体体积 V (m³) 的反比例函数，其图像经过点 (1.6, 60)。当气球内的气压大于 120 kPa 时，气球将爆炸。为了安全起见，气球的体积应不小于______ m³。",0.8,为沪教版初中数学题 hjb-junior-ds-v2-s2-469 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制函数坐标系和曲线/直线关键特征；突出顶点、交点、对称轴、象限或变化趋势。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
427,hjb-junior-ds-v2-s2-471,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,fill-in,Core,coordinate-grid,P1,"已知反比例函数 y = k/x 的图像经过点 A(3, -4)。求 k 的值，并说明该函数图像位于哪些象限。",k = -12，图像位于第二、四象限,为沪教版初中数学题 hjb-junior-ds-v2-s2-471 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制简洁坐标网格、坐标轴、关键点和变换箭头；坐标标签必须与题干一致。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
428,hjb-junior-ds-v2-s2-472,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,multiple-choice,Core,function-graph,P1,下列各点中，在反比例函数 y = -6/x 图像上的是（ ）,"C. (3, -2)",为沪教版初中数学题 hjb-junior-ds-v2-s2-472 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制函数坐标系和曲线/直线关键特征；突出顶点、交点、对称轴、象限或变化趋势。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
429,hjb-junior-ds-v2-s2-474,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,multiple-choice,Core,function-graph,P1,对于反比例函数 y = (m-1)/x，当 x > 0 时，y 随 x 的增大而减小，则 m 的取值范围是（ ）,A. m > 1,为沪教版初中数学题 hjb-junior-ds-v2-s2-474 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制函数坐标系和曲线/直线关键特征；突出顶点、交点、对称轴、象限或变化趋势。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
430,hjb-junior-ds-v2-s2-476,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,multiple-choice,Core,function-graph,P1,"已知反比例函数 y = k/x 的图像经过点 P(-2, 3)，则下列各点中也在该函数图像上的是（ ）","(4, -1.5)",为沪教版初中数学题 hjb-junior-ds-v2-s2-476 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制函数坐标系和曲线/直线关键特征；突出顶点、交点、对称轴、象限或变化趋势。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
431,hjb-junior-ds-v2-s2-477,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,multiple-choice,Core,coordinate-grid,P1,反比例函数 y = (m-1)/x 的图像在第二、四象限，则 m 的取值范围是？,m < 1,为沪教版初中数学题 hjb-junior-ds-v2-s2-477 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制简洁坐标网格、坐标轴、关键点和变换箭头；坐标标签必须与题干一致。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
432,hjb-junior-ds-v2-s2-478,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,multiple-choice,Core,function-graph,P1,"已知点 A(-2, a) 和 B(b, -3) 都在反比例函数 y = 6/x 的图像上，则 a + b 的值为？",-5,为沪教版初中数学题 hjb-junior-ds-v2-s2-478 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制函数坐标系和曲线/直线关键特征；突出顶点、交点、对称轴、象限或变化趋势。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
433,hjb-junior-ds-v2-s2-480,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,multiple-choice,Core,function-graph,P1,对于反比例函数 y = -4/x，当 x > 0 时，y 随 x 的增大而？,增大,为沪教版初中数学题 hjb-junior-ds-v2-s2-480 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制函数坐标系和曲线/直线关键特征；突出顶点、交点、对称轴、象限或变化趋势。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
434,hjb-junior-ds-v2-s2-481,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,multiple-choice,Core,function-graph,P1,"已知反比例函数 y = k/x 的图像经过点 P(4, -2)。关于该函数，下列说法正确的是（ ）",k = -8，图像位于第二、四象限,为沪教版初中数学题 hjb-junior-ds-v2-s2-481 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制函数坐标系和曲线/直线关键特征；突出顶点、交点、对称轴、象限或变化趋势。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
435,hjb-junior-ds-v2-s2-482,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,multiple-choice,Core,function-graph,P1,"在反比例函数 y = (m+1)/x 的图像上有两点 A(-3, y1) 和 B(2, y2)，且 y1 > y2，则 m 的取值范围是（ ）",m < -1,为沪教版初中数学题 hjb-junior-ds-v2-s2-482 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制函数坐标系和曲线/直线关键特征；突出顶点、交点、对称轴、象限或变化趋势。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
436,hjb-junior-ds-v2-s2-483,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,multiple-choice,Core,function-graph,P1,"已知点 A(2, a) 和点 B(b, -3) 都在反比例函数 y = -6/x 的图像上，则 a + b 的值为（ ）",-1,为沪教版初中数学题 hjb-junior-ds-v2-s2-483 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制函数坐标系和曲线/直线关键特征；突出顶点、交点、对称轴、象限或变化趋势。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
437,hjb-junior-ds-v2-s2-484,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,multiple-choice,Core,function-graph,P1,"已知反比例函数 y = k/x 的图像经过点 M(-1, 3)，则当 x = 2 时，y 的值为（ ）",-3/2,为沪教版初中数学题 hjb-junior-ds-v2-s2-484 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制函数坐标系和曲线/直线关键特征；突出顶点、交点、对称轴、象限或变化趋势。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
438,hjb-junior-ds-v2-s2-485,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,multiple-choice,Core,coordinate-grid,P1,已知反比例函数 y = (2k-1)/x 的图像在每个象限内 y 随 x 的增大而减小，则 k 的取值范围是（ ）,k > 1/2,为沪教版初中数学题 hjb-junior-ds-v2-s2-485 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制简洁坐标网格、坐标轴、关键点和变换箭头；坐标标签必须与题干一致。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
439,hjb-junior-ds-v2-s2-486,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,multiple-choice,Core,function-graph,P1,"已知点A(2, -3)在反比例函数y = k/x的图像上，则k的值为（ ）",-6,为沪教版初中数学题 hjb-junior-ds-v2-s2-486 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制函数坐标系和曲线/直线关键特征；突出顶点、交点、对称轴、象限或变化趋势。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
440,hjb-junior-ds-v2-s2-487,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,multiple-choice,Core,coordinate-grid,P1,若反比例函数y = (a+2)/x的图像位于第二、四象限，则a的取值范围是（ ）,a < -2,为沪教版初中数学题 hjb-junior-ds-v2-s2-487 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制简洁坐标网格、坐标轴、关键点和变换箭头；坐标标签必须与题干一致。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
441,hjb-junior-ds-v2-s2-488,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,multiple-choice,Core,function-graph,P1,"已知反比例函数y = m/x的图像经过点(-3, 4)，则当x = 6时，y的值为（ ）",-2,为沪教版初中数学题 hjb-junior-ds-v2-s2-488 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制函数坐标系和曲线/直线关键特征；突出顶点、交点、对称轴、象限或变化趋势。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
442,hjb-junior-ds-v2-s2-489,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,multiple-choice,Core,function-graph,P1,在反比例函数y = (k-1)/x的每一分支上，y都随x的增大而减小，则k的值可以是（ ）,2,为沪教版初中数学题 hjb-junior-ds-v2-s2-489 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制函数坐标系和曲线/直线关键特征；突出顶点、交点、对称轴、象限或变化趋势。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
443,hjb-junior-ds-v2-s2-490,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,multiple-choice,Core,function-graph,P1,"已知点P(1, 4)和Q(2, m)都在反比例函数y = k/x的图像上，则m的值为（ ）",2,为沪教版初中数学题 hjb-junior-ds-v2-s2-490 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制函数坐标系和曲线/直线关键特征；突出顶点、交点、对称轴、象限或变化趋势。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
444,hjb-junior-ds-v2-s2-491,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,multiple-choice,Core,function-graph,P1,"已知反比例函数 y = k/x 的图像经过点 A(3, -2)。若点 B(m, 4) 也在该函数图像上，则 m 的值为（ ）",-1.5,为沪教版初中数学题 hjb-junior-ds-v2-s2-491 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制函数坐标系和曲线/直线关键特征；突出顶点、交点、对称轴、象限或变化趋势。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
445,hjb-junior-ds-v2-s2-492,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,multiple-choice,Core,function-graph,P1,"已知反比例函数 y = k/x 的图像经过点 A(3, -2)。下列判断正确的是（ ）",k = -6，图像的两个分支分别位于第二、第四象限,为沪教版初中数学题 hjb-junior-ds-v2-s2-492 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制函数坐标系和曲线/直线关键特征；突出顶点、交点、对称轴、象限或变化趋势。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
446,hjb-junior-ds-v2-s2-493,S2,lower,八年级下册,反比例函数,hjb-junior-s2-lower-inverse-functions,multiple-choice,Core,function-graph,P1,"已知反比例函数 y = k/x 的图像经过点 A(2, -3)。若点 B(-1, m) 也在这个函数的图像上，则 m 的值为（ ）",6,为沪教版初中数学题 hjb-junior-ds-v2-s2-493 绘制原创题目插图，单元「反比例函数」，不要复制教材或试卷版式。 绘制函数坐标系和曲线/直线关键特征；突出顶点、交点、对称轴、象限或变化趋势。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
